Title,Authors
FACT-AUDIT: An Adaptive Multi-Agent Framework for Dynamic Fact-Checking Evaluation of Large Language Models,"Hongzhan Lin, Yang Deng, Yuxuan Gu, Wenxuan Zhang, Jing Ma, See-Kiong Ng, Tat-Seng Chua"
CityEQA: A Hierarchical LLM Agent on Embodied Question Answering Benchmark in City Space,"Yong Zhao, Kai Xu, Zhengqiu Zhu, Yue Hu, Zhiheng Zheng, Yingfeng Chen, Yatai Ji, Chen Gao, Yong Li, Jincai Huang"
VLP: Vision-Language Preference Learning for Embodied Manipulation,"Runze Liu, Chenjia Bai, Jiafei Lyu, Shengjie Sun, Yali Du, Xiu Li"
Group-CLIP Uncertainty Modeling for Group Re-Identification,"Qingxin Zhang, Haoyan Wei, Yang Qian"
EvoAgent: Agent Autonomous Evolution with Continual World Model for Long-Horizon Tasks,"Tongtong Feng, Xin Wang, Zekai Zhou, Ren Wang, Yuwei Zhan, Guangyao Li, Qing Li, Wenwu Zhu"
AutoGUI: Scaling GUI Grounding with Automatic Functionality Annotations from LLMs,"Hongxin Li, Jingfan Chen, Jingran Su, Yuntao Chen, Qing Li, Zhaoxiang Zhang"
AquaticCLIP: A Vision-Language Foundation Model for Underwater Scene Analysis,"B. Alawode, I. Ganapathi, Sajid Javed, N. Werghi, Mohammed Bennamoun, Arif Mahmood"
Learning to Plan with Personalized Preferences,"Manjie Xu, Xinyi Yang, Weihan Liang, Chi Zhang, Yixin Zhu"
A Review of Embodied Grasping,"Jianghao Sun, Pengjun Mao, Lingju Kong, Jun Wang"
InternVideo2.5: Empowering Video MLLMs with Long and Rich Context Modeling,"Yi Wang, Xinhao Li, Ziang Yan, Yinan He, Jiashuo Yu, Xiangyun Zeng, Chenting Wang, Changlian Ma, Haian Huang, Jianfei Gao, Min Dou, Kaiming Chen, Wenhai Wang, Yu Qiao, Yali Wang, Limin Wang"
Universal Actions for Enhanced Embodied Foundation Models,"Jinliang Zheng, Jianxiong Li, Dongxiu Liu, Yinan Zheng, Zhihao Wang, Zhonghong Ou, Yu Liu, Jingjing Liu, Ya-Qin Zhang, Xianyuan Zhan"
From Screens to Scenes: A Survey of Embodied AI in Healthcare,"Yihao Liu, Xu Cao, Tingting Chen, Yankai Jiang, Junjie You, Minghua Wu, Xiaosong Wang, Mengling Feng, Yaochu Jin, Jintai Chen"
URSA: Understanding and Verifying Chain-of-thought Reasoning in Multimodal Mathematics,"Ruilin Luo, Zhuofan Zheng, Yifan Wang, Yiyao Yu, Xinzhe Ni, Zicheng Lin, Jin Zeng, Yujiu Yang"
Integrating Visual Context Into Language Models for Situated Social Conversation Starters,"R. Janssens, Pieter Wolfert, Thomas Demeester, Tony Belpaeme"
"Thinking in Space: How Multimodal Large Language Models See, Remember, and Recall Spaces","Jihan Yang, Shusheng Yang, Anjali W. Gupta, Rilyn Han, Fei-Fei Li, Saining Xie"
SafeDrive: Knowledge- and Data-Driven Risk-Sensitive Decision-Making for Autonomous Vehicles with Large Language Models,"Zhiyuan Zhou, Heye Huang, Boqi Li, Shiyue Zhao, Yao Mu, Jianqiang Wang"
LossAgent: Towards Any Optimization Objectives for Image Processing with LLM Agents,"Bingchen Li, Xin Li, Yiting Lu, Zhibo Chen"
RoboMatrix: A Skill-centric Hierarchical Framework for Scalable Robot Task Planning and Execution in Open-World,"Weixin Mao, Weiheng Zhong, Zhou Jiang, Dong Fang, Zhongyue Zhang, Zihan Lan, Fan Jia, Tiancai Wang, Haoqiang Fan, Osamu Yoshie"
Is 'Right' Right? Enhancing Object Orientation Understanding in Multimodal Language Models through Egocentric Instruction Tuning,"Ji Hyeok Jung, Eun Tae Kim, Seo Yeon Kim, Joo Ho Lee, Bumsoo Kim, Buru Chang"
Towards Low-Resource Harmful Meme Detection with LMM Agents,"Jianzhao Huang, Hongzhan Lin, Liu Ziyan, Ziyang Luo, Guang Chen, Jing Ma"
DeeR-VLA: Dynamic Inference of Multimodal Large Language Models for Efficient Robot Execution,"Yang Yue, Yulin Wang, Bingyi Kang, Yizeng Han, Shenzhi Wang, Shiji Song, Jiashi Feng, Gao Huang"
Know Where You're Uncertain When Planning with Multimodal Foundation Models: A Formal Framework,"N. Bhatt, Yunhao Yang, Rohan Siva, Daniel Milan, U. Topcu, Zhangyang Wang"
VLMimic: Vision Language Models are Visual Imitation Learner for Fine-grained Actions,"Guanyan Chen, Meiling Wang, Te Cui, Yao Mu, Haoyang Lu, Tianxing Zhou, Zicai Peng, Mengxiao Hu, Haizhou Li, Yuan Li, Yi Yang, Yufeng Yue"
GiVE: Guiding Visual Encoder to Perceive Overlooked Information,"Junjie Li, Jianghong Ma, Xiaofeng Zhang, Yuhang Li, Jianyang Shi"
FLAASH: Flow-Attention Adaptive Semantic Hierarchical Fusion for Multi-Modal Tobacco Content Analysis,"Ravi Teja N. V. S. Chappa, P. Dobbs, Bhiksha Raj, Khoa Luu"
ADEM-VL: Adaptive and Embedded Fusion for Efficient Vision-Language Tuning,"Zhiwei Hao, Jianyuan Guo, Li Shen, Yong Luo, Han Hu, Yonggang Wen"
Foundation Models for Rapid Autonomy Validation,"Alec Farid, Peter Schleede, Aaron Huang, Christoffer Heckman"
Embodied Intelligent Driving: Key Technologies and Applications,"Yadong Wang, Sihan Chen, Zhiwei Li, Tianyu Shen, Kunfeng Wang"
Facilitating Multi-turn Function Calling for LLMs via Compositional Instruction Tuning,"Mingyang Chen, Haoze Sun, Tianpeng Li, Fan Yang, Hao Liang, Keer Lu, Bin Cui, Wentao Zhang, Zenan Zhou, Weipeng Chen"
KOSMOS-E : Learning to Follow Instruction for Robotic Grasping,"Zhi Wang, Xun Wu, Shaohan Huang, Li Dong, Wenhui Wang, Shuming Ma, Furu Wei"
Behavior-Actor: Behavioral Decomposition and Efficient-Training for Robotic Manipulation,"Wenyi Jiang, Baowei Xv, Zhihao Cui"
Grounding Robot Policies with Visuomotor Language Guidance,"Arthur Bucker, Pablo Ortega-Kral, Jonathan Francis, Jean Oh"
WALL-E: World Alignment by Rule Learning Improves World Model-based LLM Agents,"Siyu Zhou, Tianyi Zhou, Yijun Yang, Guodong Long, Deheng Ye, Jing Jiang, Chengqi Zhang"
A Survey of Robot Intelligence with Large Language Models,"Hyeongyo Jeong, Haechan Lee, Changwon Kim, Sungtae Shin"
ET-Plan-Bench: Embodied Task-level Planning Benchmark Towards Spatial-Temporal Cognition with Foundation Models,"Lingfeng Zhang, Yuening Wang, Hongjian Gu, Atia Hamidizadeh, Zhanguang Zhang, Yuecheng Liu, Yutong Wang, David Gamaliel Arcos Bravo, Junyi Dong, Shunbo Zhou, Tongtong Cao, Yuzheng Zhuang, Yingxue Zhang, Jianye Hao"
Long-horizon Embodied Planning with Implicit Logical Inference and Hallucination Mitigation,"Siyuan Liu, Jiawei Du, Sicheng Xiang, Zibo Wang, Dingsheng Luo"
"Multi-Modal Generative AI: Multi-modal LLM, Diffusion and Beyond","Hong Chen, Xin Wang, Yuwei Zhou, Bin Huang, Yipeng Zhang, Wei Feng, Houlun Chen, Zeyang Zhang, Siao Tang, Wenwu Zhu"
Advances in Large Language Models for Robotics,"Zongshuai Qi, Xiao Jing"
Closed-Loop Visuomotor Control with Generative Expectation for Robotic Manipulation,"Qingwen Bu, Jia Zeng, Li Chen, Yanchao Yang, Guyue Zhou, Junchi Yan, Ping Luo, Heming Cui, Yi Ma, Hongyang Li"
HiRT: Enhancing Robotic Control with Hierarchical Robot Transformers,"Jianke Zhang, Yanjiang Guo, Xiaoyu Chen, Yen-Jen Wang, Yucheng Hu, Chengming Shi, Jianyu Chen"
ExpLLM: Towards Chain of Thought for Facial Expression Recognition,"Xing Lan, Jian Xue, Ji Qi, Dongmei Jiang, Ke Lu, Tat-Seng Chua"
RoboTwin: Dual-Arm Robot Benchmark with Generative Digital Twins (early version),"Yao Mu, Tianxing Chen, Shijia Peng, Zanxin Chen, Zeyu Gao, Yude Zou, Lunkai Lin, Zhiqiang Xie, Ping Luo"
VideoLLaMB: Long-context Video Understanding with Recurrent Memory Bridges,"Yuxuan Wang, Cihang Xie, Yang Liu, Zilong Zheng"
VideoLLM-MoD: Efficient Video-Language Streaming with Mixture-of-Depths Vision Computation,"Shiwei Wu, Joya Chen, Kevin Qinghong Lin, Qimeng Wang, Yan Gao, Qianli Xu, Tong Xu, Yao Hu, Enhong Chen, Mike Zheng Shou"
"AeroVerse: UAV-Agent Benchmark Suite for Simulating, Pre-training, Finetuning, and Evaluating Aerospace Embodied World Models","Fanglong Yao, Yuanchang Yue, Youzhi Liu, Xian Sun, Kun Fu"
Polaris: Open-ended Interactive Robotic Manipulation via Syn2Real Visual Grounding and Large Language Models,"Tianyu Wang, Haitao Lin, Junqiu Yu, Yanwei Fu"
VisualAgentBench: Towards Large Multimodal Models as Visual Foundation Agents,"Xiao Liu, Tianjie Zhang, Yu Gu, Iat Long Iong, Yifan Xu, Xixuan Song, Shudan Zhang, Hanyu Lai, Xinyi Liu, Hanlin Zhao, Jiadai Sun, Xinyue Yang, Yu Yang, Zehan Qi, Shuntian Yao, Xueqiao Sun, Siyi Cheng, Qi Zheng, Hao Yu, Hanchen Zhang, Wenyi Hong, Ming Ding, Lihang Pan, Xiaotao Gu, Aohan Zeng, Zhengxiao Du, Chan Hee Song, Yu Su, Yuxiao Dong, Jie Tang"
Multi-modal LLM-enabled Long-horizon Skill Learning for Robotic Manipulation,"Runjia Tan, Shanhe Lou, Yanxin Zhou, Chen Lv"
AgentGen: Enhancing Planning Abilities for Large Language Model based Agent via Environment and Task Generation,"Mengkang Hu, Pu Zhao, Can Xu, Qingfeng Sun, Jian-Guang Lou, Qingwei Lin, Ping Luo, S. Rajmohan, Dongmei Zhang"
MuEP: A Multimodal Benchmark for Embodied Planning with Foundation Models,"Kanxue Li, Baosheng Yu, Qi Zheng, Yibing Zhan, Yuhui Zhang, Tianle Zhang, Yijun Yang, Yue Chen, Lei Sun, Qiong Cao, Li Shen, Lusong Li, Dapeng Tao, Xiaodong He"
SimpleLLM4AD: An End-to-End Vision-Language Model with Graph Visual Question Answering for Autonomous Driving,"Peiru Zheng, Yun Zhao, Zhan Gong, Hong Zhu, Shaohua Wu"
Social Learning through Interactions with Other Agents: A Survey,"Dylan Hillier, Cheston Tan, Jing Jiang"
Language-driven Grasp Detection with Mask-guided Attention,"T. Vo, M. Vu, Baoru Huang, An Vuong, Ngan Le, T. Vo, Anh Nguyen"
Compensate Quantization Errors+: Quantized Models Are Inquisitive Learners,"Yifei Gao, Jie Ou, Lei Wang, Fanhua Shang, Jaji Wu, Junguo Cheng"
Accelerating Pre-training of Multimodal LLMs via Chain-of-Sight,"Ziyuan Huang, Kaixiang Ji, Biao Gong, Zhiwu Qing, Qinglong Zhang, Kecheng Zheng, Jian Wang, Jingdong Chen, Ming Yang"
The Synergy between Data and Multi-Modal Large Language Models: A Survey from Co-Development Perspective,"Zhen Qin, Daoyuan Chen, Wenhao Zhang, Liuyi Yao, Yilun Huang, Bolin Ding, Yaliang Li, Shuiguang Deng"
Aligning Cyber Space with Physical World: A Comprehensive Survey on Embodied AI,"Yang Liu, Weixing Chen, Yongjie Bai, Jing-Hua Luo, Xinshuai Song, Kaixuan Jiang, Zhida Li, Ganlong Zhao, Junyi Lin, Guanbin Li, Wen Gao, Liang Lin"
Vision-and-Language Navigation Today and Tomorrow: A Survey in the Era of Foundation Models,"Yue Zhang, Ziqiao Ma, Jialu Li, Yanyuan Qiao, Zun Wang, Joyce Chai, Qi Wu, Mohit Bansal, Parisa Kordjamshidi"
MFE-ETP: A Comprehensive Evaluation Benchmark for Multi-modal Foundation Models on Embodied Task Planning,"Min Zhang, Jianye Hao, Xian Fu, Peilong Han, Hao Zhang, Lei Shi, Hongyao Tang, Yan Zheng"
Software-Hardware Co-Design For Embodied AI Robots,"Yiyang Huang, Yu-Hsiang Hao, Bo Yu, Feng Yan, Yuxin Yang, Feng Min, Yinhe Han, Lin Ma, Shaoshan Liu, Qiang Liu, Yiming Gan"
Text-Aware Diffusion for Policy Learning,"Calvin Luo, Mandy He, Zilai Zeng, Chen Sun"
RoboUniView: Visual-Language Model with Unified View Representation for Robotic Manipulaiton,"Fanfan Liu, Feng Yan, Liming Zheng, Chengjian Feng, Yiyang Huang, Lin Ma"
Towards Open-World Grasping with Large Vision-Language Models,"Georgios Tziafas, H. Kasaei"
Compensate Quantization Errors: Make Weights Hierarchical to Compensate Each Other,"Yifei Gao, Jie Ou, Lei Wang, Yuting Xiao, Zhiyuan Xiang, Ruiting Dai, Junguo Cheng"
Embodied Instruction Following in Unknown Environments,"Zhenyu Wu, Ziwei Wang, Xiuwei Xu, Jiwen Lu, Haibin Yan"
VideoLLM-online: Online Video Large Language Model for Streaming Video,"Joya Chen, Zhaoyang Lv, Shiwei Wu, Kevin Qinghong Lin, Chenan Song, Difei Gao, Jia-Wei Liu, Ziteng Gao, Dongxing Mao, Mike Zheng Shou"
Generate Subgoal Images Before Act: Unlocking the Chain-of-Thought Reasoning in Diffusion Model for Robot Manipulation with Multimodal Prompts,"Fei Ni, Jianye Hao, Shiguang Wu, Longxin Kou, Jiashun Liu, Yan Zheng, Bin Wang, Yuzheng Zhuang"
DAG-Plan: Generating Directed Acyclic Dependency Graphs for Dual-Arm Cooperative Planning,"Zeyu Gao, Yao Mu, Jinye Qu, Mengkang Hu, Lingyue Guo, Ping Luo, Yanfeng Lu"
Language-driven Grasp Detection,"Vuong Dinh An, M. Vu, Baoru Huang, Nghia Nguyen, Hieu Le, T. Vo, Anh Nguyen"
GUI Odyssey: A Comprehensive Dataset for Cross-App GUI Navigation on Mobile Devices,"Quanfeng Lu, Wenqi Shao, Zitao Liu, Fanqing Meng, Boxuan Li, Botong Chen, Siyuan Huang, Kaipeng Zhang, Yu Qiao, Ping Luo"
DriVLMe: Enhancing LLM-based Autonomous Driving Agents with Embodied and Social Experiences,"Yidong Huang, Jacob Sansom, Ziqiao Ma, Felix Gervits, Joyce Chai"
SAM-E: Leveraging Visual Foundation Model with Sequence Imitation for Embodied Manipulation,"Junjie Zhang, Chenjia Bai, Haoran He, Wenke Xia, Zhigang Wang, Bin Zhao, Xiu Li, Xuelong Li"
The Evolution of Multimodal Model Architectures,"S. Wadekar, Abhishek Chaurasia, Aman Chadha, Eugenio Culurciello"
Large Language Model Sentinel: LLM Agent for Adversarial Purification,"Guang Lin, Qibin Zhao"
Towards Efficient LLM Grounding for Embodied Multi-Agent Collaboration,"Yang Zhang, Shixin Yang, Chenjia Bai, Fei Wu, Xiu Li, Xuelong Li, Zhen Wang"
A Survey on Vision-Language-Action Models for Embodied AI,"Yueen Ma, Zixing Song, Yuzheng Zhuang, Jianye Hao, Irwin King"
Fine-Tuning Large Vision-Language Models as Decision-Making Agents via Reinforcement Learning,"Yuexiang Zhai, Hao Bai, Zipeng Lin, Jiayi Pan, Shengbang Tong, Yifei Zhou, Alane Suhr, Saining Xie, Yann LeCun, Yi Ma, Sergey Levine"
Lifelong Robot Library Learning: Bootstrapping Composable and Generalizable Skills for Embodied Control with Language Models,"Georgios Tziafas, H. Kasaei"
Open X-Embodiment: Robotic Learning Datasets and RT-X Models : Open X-Embodiment Collaboration0,"Abigail O'Neill, Abdul Rehman, Abhiram Maddukuri, Abhishek Gupta, A. Padalkar, Abraham Lee, Acorn Pooley, Agrim Gupta, Ajay Mandlekar, Ajinkya Jain, Albert Tung, Alex Bewley, Alex Herzog, A. Irpan, Alexander Khazatsky, Anant Rai, Anchit Gupta, Andrew Wang, Anikait Singh, Animesh Garg, Aniruddha Kembhavi, Annie Xie, Anthony Brohan, A. Raffin, Archit Sharma, Arefeh Yavary, Arhan Jain, A. Balakrishna, Ayzaan Wahid, Ben Burgess-Limerick, Beomjoon Kim, Bernhard Schölkopf, Blake Wulfe, Brian Ichter, Cewu Lu, Charles Xu, Charlotte Le, Chelsea Finn, Chen Wang, Chenfeng Xu, Cheng Chi, Chenguang Huang, Christine Chan, Christopher Agia, Chuer Pan, Chuyuan Fu, Coline Devin, Danfei Xu, Daniel Morton, Danny Driess, Daphne Chen, Deepak Pathak, Dhruv Shah, Dieter Büchler, Dinesh Jayaraman, Dmitry Kalashnikov, Dorsa Sadigh, Edward Johns, Ethan Foster, Fangchen Liu, Federico Ceola, Fei Xia, Feiyu Zhao, F. Stulp, Gaoyue Zhou, G. Sukhatme, Gautam Salhotra, Ge Yan, Gilbert Feng, Giulio Schiavi, Glen Berseth, G. Kahn, Guanzhi Wang, H. Su, Haoshu Fang, Haochen Shi, Henghui Bao, Heni Ben Amor, Henrik I. Christensen, Hiroki Furuta, H. Walke, Hongjie Fang, Huy Ha, Igor Mordatch, Ilija Radosavovic, Isabel Leal, Jacky Liang, Jad Abou-Chakra, Jaehyung Kim, Jaimyn Drake, Jan Peters, Jan Schneider, Jasmine Hsu, Jeannette Bohg, Jeff Bingham, Jeffrey Wu, Jensen Gao, Jiaheng Hu, Jiajun Wu, Jialin Wu, Jiankai Sun, Jianlan Luo, Jiayuan Gu, Jie Tan, Jihoon Oh, Jimmy Wu, Jingpei Lu, Jingyun Yang, Jitendra Malik, João Silvério, Joey Hejna, Jonathan Booher, Jonathan Tompson, Jonathan Yang, Jordi Salvador, Joseph J. Lim, Junhyek Han, Kaiyuan Wang, Kanishka Rao, Karl Pertsch, Karol Hausman, Keegan Go, K. Gopalakrishnan, Ken Goldberg, Kendra Byrne, Kenneth Oslund, Kento Kawaharazuka, Kevin Black, Kevin Lin, Kevin Zhang, Kiana Ehsani, Kiran Lekkala, Kirsty Ellis, Krishan Rana, K. Srinivasan, Kuan Fang, Kunal Pratap Singh, Kuo-Hao Zeng, K. Hatch, Kyle Hsu, L. Itti, L. Chen, Lerrel Pinto, Fei-Fei Li, Liam Tan, Linxi Fan, Lionel Ott, Lisa Lee, Luca Weihs, Magnum Chen, Marion Lepert, Marius Memmel, Masayoshi Tomizuka, Masha Itkina, Mateo Guaman Castro, Max Spero, Maximilian Du, Michael Ahn, Michael C. Yip, Mingtong Zhang, Mingyu Ding, Minho Heo, M. K. Srirama, Mohit Sharma, Moo Jin Kim, Naoaki Kanazawa, Nicklas Hansen, N. Heess, Nikhil J. Joshi, Niko Suenderhauf, Ning Liu, Norman Di Palo, N. Shafiullah, Oier Mees, Oliver Kroemer, O. Bastani, Pannag R. Sanketi, P. Miller, Patrick Yin, Paul Wohlhart, Peng Xu, Peter David Fagan, P. Mitrano, P. Sermanet, Pieter Abbeel, Priya Sundaresan, Qiuyu Chen, Quan Vuong, Rafael Rafailov, Ran Tian, Ria Doshi, Roberto Martín-Martín, R. Baijal, Rosario Scalise, Rose Hendrix, Roy Lin, Runjia Qian, Ruohan Zhang, Russell Mendonca, Rutav Shah, Ryan Hoque, Ryan C. Julian, Samuel Bustamante, Sean Kirmani, Sergey Levine, Shan Lin, Sherry Moore, Shikhar Bahl, Shivin Dass, Shubham D. Sonawani, Shuran Song, Sichun Xu, Siddhant Haldar, Siddharth Karamcheti, S. Adebola, Simon Guist, Soroush Nasiriany, Stefan Schaal, Stefan Welker, Stephen Tian, S. Ramamoorthy, Sudeep Dasari, Suneel Belkhale, Sungjae Park, Suraj Nair, Suvir Mirchandani, Takayuki Osa, Tanmay Gupta, Tatsuya Harada, Tatsuya Matsushima, Ted Xiao, Thomas Kollar, Tianhe Yu, Tianli Ding, Todor Davchev, Tony Zhao, Travis Armstrong, Trevor Darrell, Trinity Chung, Vidhi Jain, Vincent Vanhoucke, Wei Zhan, Wenxuan Zhou, Wolfram Burgard, Xi Chen, Xiaolong Wang, Xinghao Zhu, Xinyang Geng, Xiyuan Liu, Liangwei Xu, Xuanlin Li, Yao Lu, Yecheng Jason Ma, Yejin Kim, Yevgen Chebotar, Yifan Zhou, Yifeng Zhu, Yilin Wu, Ying Xu, Yixuan Wang, Yonatan Bisk, Yoonyoung Cho, Youngwoon Lee, Yuchen Cui, Yue Cao, Yueh-hua Wu, Yujin Tang, Yuke Zhu, Yunchu Zhang, Yunfan Jiang, Yunshuang Li, Yunzhu Li, Yusuke Iwasawa, Yutaka Matsuo, Zehan Ma, Zhuo Xu, Zichen Jeff Cui, Zichen Zhang, Zipeng Lin"
FLTRNN: Faithful Long-Horizon Task Planning for Robotics with Large Language Models,"Jiatao Zhang, LanLing Tang, Yufan Song, Qiwei Meng, Haofu Qian, Jun Shao, Wei Song, Shiqiang Zhu, J. Gu"
Is the House Ready For Sleeptime? Generating and Evaluating Situational Queries for Embodied Question Answering,"Vishnu Sashank Dorbala, Prasoon Goyal, Robinson Piramuthu, Michael Johnston, Reza Ghanadhan, Dinesh Manocha"
HELPER-X: A Unified Instructable Embodied Agent to Tackle Four Interactive Vision-Language Domains with Memory-Augmented Language Models,"Gabriel Sarch, Sahil Somani, Raghav Kapoor, Michael J. Tarr, Katerina Fragkiadaki"
Graphic Design with Large Multimodal Model,"Yutao Cheng, Zhao Zhang, Maoke Yang, Hui Nie, Chunyuan Li, Xinglong Wu, Jie Shao"
Design of a Brain Controlled Robotic Arm: Initial Experimental Testing,"L. Aljedaani, Fatma Abdelhédi, R. Aldahasi, A. Batheeb"
Empowering Large Language Models on Robotic Manipulation with Affordance Prompting,"Guangran Cheng, Chuheng Zhang, Wenzhe Cai, Li Zhao, Changyin Sun, Jiang Bian"
Retrieval-Augmented Embodied Agents,"Yichen Zhu, Zhicai Ou, Xiaofeng Mou, Jian Tang"
Self-Explainable Affordance Learning with Embodied Caption,"Zhipeng Zhang, Zhimin Wei, Guolei Sun, Peng Wang, L. V. Gool"
SegICL: A Multimodal In-context Learning Framework for Enhanced Segmentation in Medical Imaging,"Lingdong Shen, Fangxin Shang, Xiaoshuang Huang, Yehui Yang, Haifeng Huang, Shiming Xiang"
Natural Language as Policies: Reasoning for Coordinate-Level Embodied Control with LLMs,"Yusuke Mikami, Andrew Melnik, Jun Miura, Ville Hautamaki"
Can LLM’s Generate Human-Like Wayfinding Instructions? Towards Platform-Agnostic Embodied Instruction Synthesis,"Vishnu Sashank Dorbala, Sanjoy Chowdhury, Dinesh Manocha"
NavCoT: Boosting LLM-Based Vision-and-Language Navigation via Learning Disentangled Reasoning,"Bingqian Lin, Yunshuang Nie, Ziming Wei, Jiaqi Chen, Shikui Ma, Jianhua Han, Hang Xu, Xiaojun Chang, Xiaodan Liang"
Spatiotemporal Predictive Pre-training for Robotic Motor Control,"Jiange Yang, Bei Liu, Jianlong Fu, Bocheng Pan, Gangshan Wu, Limin Wang"
Embodied Understanding of Driving Scenarios,"Yunsong Zhou, Linyan Huang, Qingwen Bu, Jia Zeng, Tianyu Li, Hang Qiu, Hongzi Zhu, Minyi Guo, Yu Qiao, Hongyang Li"
RegionGPT: Towards Region Understanding Vision Language Model,"Qiushan Guo, Shalini De Mello, Hongxu Yin, Wonmin Byeon, Ka Chun Cheung, Yizhou Yu, Ping Luo, Sifei Liu"
ShapeLLM: Universal 3D Object Understanding for Embodied Interaction,"Zekun Qi, Runpei Dong, Shaochen Zhang, Haoran Geng, Chunrui Han, Zheng Ge, Li Yi, Kaisheng Ma"
PhyGrasp: Generalizing Robotic Grasping with Physics-informed Large Multimodal Models,"Dingkun Guo, Yuqi Xiang, Shuqi Zhao, Xinghao Zhu, Masayoshi Tomizuka, Mingyu Ding, Wei Zhan"
RoboCodeX: Multimodal Code Generation for Robotic Behavior Synthesis,"Yao Mu, Junting Chen, Qinglong Zhang, Shoufa Chen, Qiaojun Yu, Chongjian Ge, Runjian Chen, Zhixuan Liang, Mengkang Hu, Chaofan Tao, Peize Sun, Haibao Yu, Chao Yang, Wenqi Shao, Wenhai Wang, Jifeng Dai, Yu Qiao, Mingyu Ding, Ping Luo"
RoboScript: Code Generation for Free-Form Manipulation Tasks across Real and Simulation,"Junting Chen, Yao Mu, Qiaojun Yu, Tianming Wei, Silang Wu, Zhecheng Yuan, Zhixuan Liang, Chao Yang, Kaipeng Zhang, Wenqi Shao, Yu Qiao, Huazhe Xu, Mingyu Ding, Ping Luo"
Enhancing Robotic Manipulation with AI Feedback from Multimodal Large Language Models,"Jinyi Liu, Yifu Yuan, Jianye Hao, Fei Ni, Lingzhi Fu, Yibin Chen, Yan Zheng"
Learning an Actionable Discrete Diffusion Policy via Large-Scale Actionless Video Pre-Training,"Haoran He, Chenjia Bai, Ling Pan, Weinan Zhang, Bin Zhao, Xuelong Li"
The Revolution of Multimodal Large Language Models: A Survey,"Davide Caffagni, Federico Cocchi, Luca Barsellotti, Nicholas Moratelli, Sara Sarto, L. Baraldi, Marcella Cornia, R. Cucchiara"
OmniMedVQA: A New Large-Scale Comprehensive Evaluation Benchmark for Medical LVLM,"Yutao Hu, Tian-Xin Li, Quanfeng Lu, Wenqi Shao, Junjun He, Yu Qiao, Ping Luo"
Grounding LLMs For Robot Task Planning Using Closed-loop State Feedback,"V. Bhat, Ali Umut Kaypak, P. Krishnamurthy, Ramesh Karri, F. Khorrami"
Exploring Perceptual Limitation of Multimodal Large Language Models,"Jiarui Zhang, Jinyi Hu, Mahyar Khayatkhoei, Filip Ilievski, Maosong Sun"
CognitiveOS: Large Multimodal Model based System to Endow Any Type of Robot with Generative AI,"Artem Lykov, Mikhail Konenkov, Koffivi Fidele Gbagbe, Mikhail Litvinov, Robinroy Peter, D. Davletshin, A. Fedoseev, Oleg Kobzarev, Ali Alabbas, Oussama Alyounes, Miguel Altamirano Cabrera, Dzmitry Tsetserukou"
